2021-11-15 14:52:48,489 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,489 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,489 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,489 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,489 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,489 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,540 INFO     executed speak function
2021-11-15 14:52:48,540 INFO     wished Good Afternoon
2021-11-15 14:52:52,855 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,855 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,855 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,856 DEBUG     wrap_outparam(<POINTER(IDispatch) ptr=0x1f02b9a8980 at 1f02b87b848>)
2021-11-15 14:52:52,856 DEBUG     GetBestInterface(<POINTER(IDispatch) ptr=0x1f02b9a8980 at 1f02b87b848>)
2021-11-15 14:52:52,856 DEBUG     Does NOT implement IProvideClassInfo, trying IProvideClassInfo2
2021-11-15 14:52:52,856 DEBUG     Does NOT implement IProvideClassInfo/IProvideClassInfo2
2021-11-15 14:52:52,856 DEBUG     Release <POINTER(IUnknown) ptr=0x1f02b0af9b0 at 1f02b87b3c8>
2021-11-15 14:52:52,856 DEBUG     Default interface is {C74A3ADC-B727-4500-A84A-B526721C8B8C}
2021-11-15 14:52:52,857 DEBUG     Release <POINTER(IUnknown) ptr=0x1f02b9a8980 at 1f02b87b948>
2021-11-15 14:52:52,857 DEBUG     GetModule(TLIBATTR(GUID={C866CA3A-32F7-11D2-9602-00C04F8EE628}, Version=5.4, LCID=0, FLags=0x8))
2021-11-15 14:52:52,857 DEBUG     Implements default interface from typeinfo <class 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4.ISpeechObjectToken'>
2021-11-15 14:52:52,857 DEBUG     Final result is <POINTER(ISpeechObjectToken) ptr=0x1f02b9a8980 at 1f02b87b3c8>
2021-11-15 14:52:52,857 DEBUG     Release <POINTER(IDispatch) ptr=0x1f02b9a8980 at 1f02b87b348>
2021-11-15 14:52:52,857 DEBUG     Release <POINTER(ITypeInfo) ptr=0x1f02b0af9b0 at 1f02b87b8c8>
2021-11-15 14:52:52,857 DEBUG     Release <POINTER(ITypeLib) ptr=0x1f02ad779f0 at 1f02b87b948>
2021-11-15 14:52:52,857 DEBUG     Release <POINTER(IDispatch) ptr=0x1f02b9a8980 at 1f02b87b848>
2021-11-15 14:52:52,857 DEBUG     unimplemented method _ISpeechVoiceEvents_VoiceChange called
2021-11-15 14:52:52,857 DEBUG     Release <POINTER(ISpeechObjectToken) ptr=0x1f02b9a8980 at 1f02b87b3c8>
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,858 DEBUG     unimplemented method _ISpeechVoiceEvents_Sentence called
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,858 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,858 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,858 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,859 DEBUG     unimplemented method _ISpeechVoiceEvents_Word called
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,859 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,859 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,859 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,859 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,860 DEBUG     unimplemented method _ISpeechVoiceEvents_Word called
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,860 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,860 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,860 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,860 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,860 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,861 DEBUG     unimplemented method _ISpeechVoiceEvents_Word called
2021-11-15 14:52:52,861 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,861 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,861 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:52,861 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:52,861 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:52,861 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:52,861 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
